Wavelength;Intensity
247.606;0.021129994952518334
247.947;0.021120205140449714
248.287;0.021110120889731576
248.628;0.02110000736802347
248.969;0.021084216244046897
249.31;0.02106757333027809
249.65;0.021048585387628212
249.991;0.021029188765515395
250.332;0.021010920690676376
250.672;0.020997043824818377
251.013;0.020985271770339525
251.354;0.02097304879826133
251.694;0.020961496753685624
252.035;0.0209479579835415
252.375;0.02093529990792447
252.716;0.02092385288910657
253.057;0.020908494762521577
253.397;0.02089508159455431
253.738;0.020882870248691163
254.078;0.020873042475710982
254.419;0.0208633837418502
254.759;0.02085409874187286
255.1;0.020843770011658512
255.44;0.02083412377047184
255.781;0.02082306848189799
256.121;0.02081160218310314
256.462;0.020801328149390452
256.802;0.020787984956350265
257.143;0.02077835845045442
257.483;0.020770667524111528
257.824;0.020762761707100324
