Wavelength;Intensity
247.606;0.06738618416333708
247.947;0.06740673356538772
248.287;0.06743412671529131
248.628;0.06746340637015925
248.969;0.0674915745416969
249.31;0.06751878408123635
249.65;0.06754506994713551
249.991;0.0675626561502652
250.332;0.06758401513855332
250.672;0.06766679383007529
251.013;0.06775053937084416
251.354;0.06782996034113578
251.694;0.06790865906847739
252.035;0.06799327387265898
252.375;0.06807665763848786
252.716;0.06815687767669415
253.057;0.06823841369567273
253.397;0.06831682738226355
253.738;0.06839715261527828
254.078;0.06847091013337762
254.419;0.06857217027801109
254.759;0.06866517173891484
255.1;0.06875250001952313
255.44;0.06883083384031927
255.781;0.06889473925287522
256.121;0.06896821044497739
256.462;0.06903080838678775
256.802;0.0690872632259864
257.143;0.06914865137410424
257.483;0.06921124198660959
257.824;0.06927741742161536
